"County","Agency","Year","Months Reported","Index Total","Violent Total","Murder","Rape","Robbery","Aggravated Assault","Property Total","Burglary","Larceny","Motor Vehicle Theft","Region"
"Albany","Albany City PD","2024","12","4,057","985","13","90","233","649","3,072","409","2,360","303","Non-New York City"
"Albany","Albany County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Albany","Albany County Sheriff","2024","12","58","8","0","1","1","6","50","7","40","3","Non-New York City"
"Albany","Albany County State Police","2024","11","181","58","1","12","1","44","123","4","112","7","Non-New York City"
"Albany","Altamont Vg PD","2024","12","5","0","0","0","0","0","5","0","5","0","Non-New York City"
"Albany","Bethlehem Town PD","2024","12","372","13","1","6","1","5","359","33","321","5","Non-New York City"
"Albany","Coeymans Town PD","2024","12","29","5","0","1","2","2","24","2","21","1","Non-New York City"
"Albany","Cohoes City PD","2024","12","235","34","0","3","9","22","201","17","168","16","Non-New York City"
"Albany","Colonie Town PD","2024","12","3,017","104","0","5","27","72","2,913","203","2,647","63","Non-New York City"
"Albany","County Total","2024",,"9,053","1,301","16","134","294","857","7,752","787","6,534","431","Non-New York City"
"Albany","Guilderland Town PD","2024","12","626","39","0","6","6","27","587","55","523","9","Non-New York City"
"Albany","Menands Vg PD","2024","12","79","7","0","2","1","4","72","9","56","7","Non-New York City"
"Albany","SUNY Police - Albany","2024","12","142","12","0","1","4","7","130","11","119","0","Non-New York City"
"Albany","SUNY Police - SUNY Plaza","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Albany","Watervliet City PD","2024","12","251","36","1","7","9","19","215","37","161","17","Non-New York City"
"Allegany","Alfred Vg PD","2024","12","22","5","0","1","0","4","17","4","12","1","Non-New York City"
"Allegany","Allegany County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Allegany","Allegany County Sheriff","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Allegany","Allegany County State Police","2024","11","209","61","0","20","3","38","148","33","104","11","Non-New York City"
"Allegany","Andover Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Allegany","Belmont Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Allegany","Bolivar Vg PD","2024","12","5","0","0","0","0","0","5","1","4","0","Non-New York City"
"Allegany","County Total","2024",,"381","80","0","24","4","52","301","45","241","15","Non-New York City"
"Allegany","Cuba Town PD","2024","12","24","3","0","0","0","3","21","1","19","1","Non-New York City"
"Allegany","Friendship Town PD","2024","12","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Allegany","Independence Town PD","2024","12","3","1","0","0","0","1","2","0","2","0","Non-New York City"
"Allegany","SUNY Police - Alfred","2024","12","25","5","0","3","0","2","20","0","20","0","Non-New York City"
"Allegany","Wellsville Vg PD","2024","12","90","5","0","0","1","4","85","6","77","2","Non-New York City"
"Allegany","Willing Town PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Bronx","County Total","2024","12","50,844","17,160","114","672","4,937","11,437","33,684","2,947","26,127","4,610","New York City"
"Broome","Binghamton City PD","2024","12","1,895","273","3","33","35","202","1,622","210","1,316","96","Non-New York City"
"Broome","Broome County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Broome","Broome County Sheriff","2024","12","603","51","0","19","9","23","552","57","464","31","Non-New York City"
"Broome","Broome County State Police","2024","11","436","61","1","17","3","40","375","53","303","19","Non-New York City"
"Broome","County Total","2024",,"5,071","500","4","93","60","343","4,571","508","3,880","183","Non-New York City"
"Broome","Endicott Vg PD","2024","12","428","43","0","12","6","25","385","60","317","8","Non-New York City"
"Broome","Johnson City Vg PD","2024","12","654","52","0","8","5","39","602","76","507","19","Non-New York City"
"Broome","Port Dickinson Vg PD","2024","10","1","0","0","0","0","0","1","0","0","1","Non-New York City"
"Broome","SUNY Police - Binghamton","2024","12","168","4","0","3","0","1","164","6","155","3","Non-New York City"
"Broome","Vestal Town PD","2024","12","885","16","0","1","2","13","869","46","817","6","Non-New York City"
"Cattaraugus","Allegany Vg PD","2024","12","10","1","0","0","0","1","9","0","9","0","Non-New York City"
"Cattaraugus","Cattaraugus County Park PD","2024","12","4","0","0","0","0","0","4","0","3","1","Non-New York City"
"Cattaraugus","Cattaraugus County Sheriff","2024","12","208","36","0","7","2","27","172","42","118","12","Non-New York City"
"Cattaraugus","Cattaraugus County State Police","2024","11","295","32","0","12","1","19","263","54","190","19","Non-New York City"
"Cattaraugus","Cattaraugus Vg PD","2024","11","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cattaraugus","County Total","2024",,"1,225","146","0","25","27","94","1,079","165","866","48","Non-New York City"
"Cattaraugus","Ellicottville Town PD","2024","12","20","1","0","1","0","0","19","3","16","0","Non-New York City"
"Cattaraugus","Franklinville Vg PD","2024","12","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Cattaraugus","Olean City PD","2024","12","578","54","0","3","18","33","524","47","465","12","Non-New York City"
"Cattaraugus","Portville Vg PD","2024","12","5","0","0","0","0","0","5","1","4","0","Non-New York City"
"Cattaraugus","Salamanca City PD","2024","12","103","22","0","2","6","14","81","18","59","4","Non-New York City"
"Cayuga","Auburn City PD","2024","12","437","86","0","11","8","67","351","30","305","16","Non-New York City"
"Cayuga","Cayuga County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cayuga","Cayuga County Sheriff","2024","12","104","14","0","6","0","8","90","13","71","6","Non-New York City"
"Cayuga","Cayuga County State Police","2024","11","164","40","0","19","0","21","124","20","96","8","Non-New York City"
"Cayuga","County Total","2024",,"706","140","0","36","8","96","566","63","473","30","Non-New York City"
"Cayuga","Moravia Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cayuga","Port Byron Vg PD","2024","11","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cayuga","Weedsport Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Chautauqua","Carroll Town PD","2024","12","9","0","0","0","0","0","9","0","7","2","Non-New York City"
"Chautauqua","Chautauqua County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Chautauqua","Chautauqua County Sheriff","2024","12","298","38","0","16","1","21","260","56","191","13","Non-New York City"
"Chautauqua","Chautauqua County State Police","2024","11","208","32","0","15","0","17","176","37","125","14","Non-New York City"
"Chautauqua","County Total","2024",,"2,236","310","7","69","31","203","1,926","298","1,568","60","Non-New York City"
"Chautauqua","Dunkirk City PD","2024","12","273","34","0","0","4","30","239","21","214","4","Non-New York City"
"Chautauqua","Ellicott Town PD","2024","12","167","5","0","1","1","3","162","19","141","2","Non-New York City"
"Chautauqua","Fredonia Vg PD","2024","12","163","3","0","0","1","2","160","12","147","1","Non-New York City"
"Chautauqua","Jamestown City PD","2024","12","840","192","7","35","24","126","648","125","505","18","Non-New York City"
"Chautauqua","Lakewood-Busti PD","2024","12","244","4","0","2","0","2","240","26","208","6","Non-New York City"
"Chautauqua","SUNY Police - Fredonia","2024","12","13","0","0","0","0","0","13","0","13","0","Non-New York City"
"Chautauqua","Westfield Vg PD","2024","12","20","2","0","0","0","2","18","2","16","0","Non-New York City"
"Chemung","Chemung County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chemung","Chemung County Sheriff","2024","12","156","17","1","2","1","13","139","15","118","6","Non-New York City"
"Chemung","Chemung County State Police","2024","11","252","62","0","9","2","51","190","19","166","5","Non-New York City"
"Chemung","County Total","2024",,"1,816","263","3","21","31","208","1,553","201","1,317","35","Non-New York City"
"Chemung","Elmira City PD","2024","12","1,360","175","2","8","27","138","1,185","157","1,006","22","Non-New York City"
"Chemung","Elmira Heights Vg PD","2024","12","47","9","0","2","1","6","38","10","26","2","Non-New York City"
"Chemung","Elmira Town PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Chenango","Afton Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chenango","Bainbridge Vg PD","2024","6","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Chenango","Chenango County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chenango","Chenango County Sheriff","2024","10","272","22","0","11","1","10","250","32","215","3","Non-New York City"
"Chenango","Chenango County State Police","2024","11","179","44","0","21","0","23","135","24","99","12","Non-New York City"
"Chenango","County Total","2024",,"468","67","0","32","1","34","401","60","325","16","Non-New York City"
"Chenango","Greene Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Chenango","New Berlin Town PD","2024","12","3","0","0","0","0","0","3","0","3","0","Non-New York City"
"Chenango","Sherburne Vg PD","2024","10","12","1","0","0","0","1","11","4","6","1","Non-New York City"
"Clinton","Clinton County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Clinton","Clinton County Sheriff","2024","12","44","9","0","0","0","9","35","1","33","1","Non-New York City"
"Clinton","Clinton County State Police","2024","11","896","106","3","43","4","56","790","105","651","34","Non-New York City"
"Clinton","County Total","2024",,"1,378","143","3","50","8","82","1,235","122","1,064","49","Non-New York City"
"Clinton","Plattsburgh City PD","2024","12","396","26","0","5","4","17","370","16","340","14","Non-New York City"
"Clinton","SUNY Police - Plattsburgh","2024","12","42","2","0","2","0","0","40","0","40","0","Non-New York City"
"Columbia","Chatham Vg PD","2024","12","2","1","0","0","0","1","1","0","1","0","Non-New York City"
"Columbia","Columbia County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Columbia","Columbia County Sheriff","2024","8","194","9","0","1","1","7","185","20","163","2","Non-New York City"
"Columbia","Columbia County State Police","2024","11","189","37","1","11","0","25","152","22","126","4","Non-New York City"
"Columbia","County Total","2024",,"500","66","1","14","4","47","434","47","381","6","Non-New York City"
"Columbia","Greenport Town PD","2024","2","3","0","0","0","0","0","3","0","3","0","Non-New York City"
"Columbia","Hudson City PD","2024","12","111","19","0","2","3","14","92","5","87","0","Non-New York City"
"Columbia","Philmont Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Columbia","Stockport Town PD","2024","1","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cortland","Cortland City PD","2024","12","617","51","0","9","4","38","566","70","486","10","Non-New York City"
"Cortland","Cortland County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Cortland","Cortland County Sheriff","2024","12","230","30","0","10","0","20","200","19","177","4","Non-New York City"
"Cortland","Cortland County State Police","2024","11","140","17","1","6","0","10","123","15","103","5","Non-New York City"
"Cortland","County Total","2024",,"1,074","100","1","27","4","68","974","113","842","19","Non-New York City"
"Cortland","Homer Vg PD","2024","12","31","1","0","1","0","0","30","3","27","0","Non-New York City"
"Cortland","SUNY Police - Cortland","2024","12","56","1","0","1","0","0","55","6","49","0","Non-New York City"
"Delaware","Colchester Town PD","2024","12","3","1","0","1","0","0","2","0","2","0","Non-New York City"
"Delaware","County Total","2024",,"358","65","0","19","3","43","293","41","233","19","Non-New York City"
"Delaware","Delaware County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Delaware","Delaware County Sheriff","2024","12","69","14","0","7","0","7","55","6","44","5","Non-New York City"
"Delaware","Delaware County State Police","2024","11","160","42","0","9","0","33","118","20","85","13","Non-New York City"
"Delaware","Delhi Vg PD","2024","12","19","1","0","1","0","0","18","1","17","0","Non-New York City"
"Delaware","Hancock Vg PD","2024","12","1","0","0","0","0","0","1","1","0","0","Non-New York City"
"Delaware","NYC-DEPP - Beerston PCT","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Delaware","Sidney Vg PD","2024","12","68","7","0","1","3","3","61","12","48","1","Non-New York City"
"Delaware","SUNY Police - Delhi","2024","11","38","0","0","0","0","0","38","1","37","0","Non-New York City"
"Dutchess","Beacon City PD","2024","12","126","17","1","0","4","12","109","11","88","10","Non-New York City"
"Dutchess","County Total","2024",,"3,479","521","8","83","81","349","2,958","268","2,548","142","Non-New York City"
"Dutchess","Dutchess County MTA","2024","12","4","0","0","0","0","0","4","0","4","0","Non-New York City"
"Dutchess","Dutchess County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Dutchess","Dutchess County Sheriff","2024","12","377","35","0","12","2","21","342","40","288","14","Non-New York City"
"Dutchess","Dutchess County State Police","2024","11","531","120","5","26","9","80","411","39","350","22","Non-New York City"
"Dutchess","East Fishkill Town PD","2024","12","142","11","0","3","0","8","131","7","114","10","Non-New York City"
"Dutchess","Fishkill Town PD","2024","12","135","4","0","1","1","2","131","7","118","6","Non-New York City"
"Dutchess","Fishkill Vg PD","2024","12","42","1","0","0","1","0","41","1","40","0","Non-New York City"
"Dutchess","Hyde Park Town PD","2024","12","102","12","0","1","3","8","90","16","61","13","Non-New York City"
"Dutchess","Millbrook Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Dutchess","Millerton Vg PD","2024","1","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Dutchess","Pine Plains Town PD","2024","10","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Dutchess","Poughkeepsie City PD","2024","12","771","235","2","28","39","166","536","84","411","41","Non-New York City"
"Dutchess","Poughkeepsie Town PD","2024","12","1,151","83","0","12","22","49","1,068","59","984","25","Non-New York City"
"Dutchess","Red Hook Vg PD","2024","11","38","2","0","0","0","2","36","3","33","0","Non-New York City"
"Dutchess","Rhinebeck Vg PD","2024","12","17","1","0","0","0","1","16","1","15","0","Non-New York City"
"Dutchess","Wappingers Falls Vg PD","2024","12","41","0","0","0","0","0","41","0","40","1","Non-New York City"
"Erie","Akron Vg PD","2024","12","3","1","0","0","0","1","2","0","2","0","Non-New York City"
"Erie","Amherst Town PD","2024","12","2,811","153","0","10","22","121","2,658","150","2,176","332","Non-New York City"
"Erie","Blasdell Vg PD","2024","12","50","6","0","2","1","3","44","11","24","9","Non-New York City"
"Erie","Brant Town PD","2024","12","8","0","0","0","0","0","8","0","5","3","Non-New York City"
"Erie","Buffalo City PD","2024","12","13,190","2,138","39","139","493","1,467","11,052","1,389","7,067","2,596","Non-New York City"
"Erie","Cheektowaga Town PD","2024","12","2,802","189","2","16","48","123","2,613","227","2,036","350","Non-New York City"
"Erie","County Total","2024",,"25,217","3,061","46","244","664","2,107","22,156","2,345","15,776","4,035","Non-New York City"
"Erie","Depew Vg PD","2024","12","269","21","0","2","4","15","248","30","187","31","Non-New York City"
"Erie","East Aurora-Town Of Aurora PD","2024","12","108","11","0","3","1","7","97","9","79","9","Non-New York City"
"Erie","Eden Town PD","2024","12","27","6","0","0","0","6","21","2","15","4","Non-New York City"
"Erie","Erie County Park PD","2024","12","5","2","0","0","1","1","3","1","2","0","Non-New York City"
"Erie","Erie County Sheriff","2024","12","652","60","0","14","4","42","592","60","466","66","Non-New York City"
"Erie","Erie County State Police","2024","11","373","55","0","14","3","38","318","24","258","36","Non-New York City"
"Erie","Evans Town PD","2024","12","175","14","0","2","4","8","161","21","123","17","Non-New York City"
"Erie","Gowanda Vg PD","2024","12","23","5","0","0","0","5","18","1","17","0","Non-New York City"
"Erie","Hamburg Town PD","2024","12","760","29","1","3","9","16","731","70","605","56","Non-New York City"
"Erie","Hamburg Vg PD","2024","12","46","4","0","0","1","3","42","0","38","4","Non-New York City"
"Erie","Kenmore Vg PD","2024","12","263","26","0","1","8","17","237","26","158","53","Non-New York City"
"Erie","Lackawanna City PD","2024","12","381","77","1","9","8","59","304","36","232","36","Non-New York City"
"Erie","Lancaster Town PD","2024","12","398","21","0","3","2","16","377","19","319","39","Non-New York City"
"Erie","Niagara Frontier Transportation Authority PD","2024","11","90","26","0","0","9","17","64","2","53","9","Non-New York City"
"Erie","Orchard Park Town PD","2024","12","319","20","0","5","5","10","299","23","239","37","Non-New York City"
"Erie","SUNY Police - Buffalo","2024","12","235","13","0","1","2","10","222","28","184","10","Non-New York City"
"Erie","SUNY Police - Buffalo State College","2024","12","113","11","0","5","2","4","102","5","92","5","Non-New York City"
"Erie","Tonawanda City PD","2024","12","201","27","2","5","1","19","174","20","136","18","Non-New York City"
"Erie","Tonawanda Town PD","2024","12","1,074","87","0","6","25","56","987","125","653","209","Non-New York City"
"Erie","West Seneca Town PD","2024","12","841","59","1","4","11","43","782","66","610","106","Non-New York City"
"Essex","County Total","2024",,"241","36","0","20","0","16","205","39","156","10","Non-New York City"
"Essex","Essex County Sheriff","2024","12","3","0","0","0","0","0","3","0","2","1","Non-New York City"
"Essex","Essex County State Police","2024","11","195","33","0","20","0","13","162","30","125","7","Non-New York City"
"Essex","Lake Placid Vg PD","2024","12","31","1","0","0","0","1","30","8","21","1","Non-New York City"
"Essex","Moriah Town PD","2024","9","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Essex","Ticonderoga Town PD","2024","4","12","2","0","0","0","2","10","1","8","1","Non-New York City"
"Franklin","County Total","2024",,"535","75","0","23","3","49","460","87","346","27","Non-New York City"
"Franklin","Franklin County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Franklin","Franklin County Sheriff","2024","12","1","1","0","0","0","1","0","0","0","0","Non-New York City"
"Franklin","Franklin County State Police","2024","11","285","40","0","19","2","19","245","45","183","17","Non-New York City"
"Franklin","Malone Vg PD","2024","12","126","18","0","2","0","16","108","18","87","3","Non-New York City"
"Franklin","Saranac Lake Vg PD","2024","12","28","11","0","0","0","11","17","3","14","0","Non-New York City"
"Franklin","Tupper Lake Vg PD","2024","12","95","5","0","2","1","2","90","21","62","7","Non-New York City"
"Fulton","County Total","2024",,"719","100","1","11","7","81","619","87","495","37","Non-New York City"
"Fulton","Fulton County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Fulton","Fulton County Sheriff","2024","12","234","26","0","2","1","23","208","28","160","20","Non-New York City"
"Fulton","Fulton County State Police","2024","11","74","17","1","5","0","11","57","12","42","3","Non-New York City"
"Fulton","Gloversville City PD","2024","12","251","46","0","2","6","38","205","31","164","10","Non-New York City"
"Fulton","Johnstown City PD","2024","12","143","11","0","2","0","9","132","12","117","3","Non-New York City"
"Fulton","Northville Vg PD","2024","12","16","0","0","0","0","0","16","4","11","1","Non-New York City"
"Genesee","Batavia City PD","2024","12","359","68","1","8","10","49","291","28","253","10","Non-New York City"
"Genesee","Corfu Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Genesee","County Total","2024",,"777","126","2","21","13","90","651","61","567","23","Non-New York City"
"Genesee","Genesee County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Genesee","Genesee County Sheriff","2024","12","241","38","1","6","3","28","203","19","175","9","Non-New York City"
"Genesee","Genesee County State Police","2024","11","115","11","0","6","0","5","104","9","93","2","Non-New York City"
"Genesee","LeRoy Vg PD","2024","12","62","9","0","1","0","8","53","5","46","2","Non-New York City"
"Greene","Cairo Town PD","2024","12","25","0","0","0","0","0","25","1","24","0","Non-New York City"
"Greene","Catskill Vg PD","2024","12","68","4","0","1","0","3","64","4","59","1","Non-New York City"
"Greene","County Total","2024",,"379","60","0","13","1","46","319","48","262","9","Non-New York City"
"Greene","Coxsackie Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Greene","Durham Town PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Greene","Greene County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Greene","Greene County Sheriff","2024","12","41","18","0","4","0","14","23","6","15","2","Non-New York City"
"Greene","Greene County State Police","2024","11","221","38","0","8","1","29","183","35","142","6","Non-New York City"
"Greene","Hunter Town PD","2024","12","20","0","0","0","0","0","20","2","18","0","Non-New York City"
"Greene","Windham Town PD","2024","12","3","0","0","0","0","0","3","0","3","0","Non-New York City"
"Hamilton","County Total","2024",,"21","3","0","2","0","1","18","4","11","3","Non-New York City"
"Hamilton","Hamilton County Sheriff","2024","12","6","1","0","1","0","0","5","1","2","2","Non-New York City"
"Hamilton","Hamilton County State Police","2024","11","13","2","0","1","0","1","11","3","7","1","Non-New York City"
"Hamilton","Inlet Town PD","2024","12","2","0","0","0","0","0","2","0","2","0","Non-New York City"
"Herkimer","County Total","2024",,"1,250","164","2","19","13","130","1,086","155","900","31","Non-New York City"
"Herkimer","Dolgeville Vg PD","2024","6","7","3","0","0","0","3","4","0","4","0","Non-New York City"
"Herkimer","Frankfort Town PD","2024","12","39","8","0","3","0","5","31","6","20","5","Non-New York City"
"Herkimer","Frankfort Vg PD","2024","12","5","1","0","0","0","1","4","0","4","0","Non-New York City"
"Herkimer","Herkimer County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Herkimer","Herkimer County Sheriff","2024","12","11","0","0","0","0","0","11","0","11","0","Non-New York City"
"Herkimer","Herkimer County State Police","2024","11","227","39","1","9","1","28","188","54","120","14","Non-New York City"
"Herkimer","Herkimer Vg PD","2024","12","696","86","1","4","9","72","610","61","546","3","Non-New York City"
"Herkimer","Ilion Vg PD","2024","12","188","23","0","2","2","19","165","24","133","8","Non-New York City"
"Herkimer","Little Falls City PD","2024","12","23","3","0","1","1","1","20","3","17","0","Non-New York City"
"Herkimer","Mohawk Vg PD","2024","12","44","1","0","0","0","1","43","5","38","0","Non-New York City"
"Herkimer","Webb Town PD","2024","12","10","0","0","0","0","0","10","2","7","1","Non-New York City"
"Jefferson","Adams Vg PD","2024","12","3","0","0","0","0","0","3","1","2","0","Non-New York City"
"Jefferson","Alexandria Bay Vg PD","2024","12","3","0","0","0","0","0","3","0","3","0","Non-New York City"
"Jefferson","Black River Vg PD","2024","12","1","0","0","0","0","0","1","1","0","0","Non-New York City"
"Jefferson","Brownville Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Jefferson","Cape Vincent Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Jefferson","Carthage Vg PD","2024","12","18","5","0","2","0","3","13","3","9","1","Non-New York City"
"Jefferson","Clayton Vg PD","2024","12","15","0","0","0","0","0","15","5","10","0","Non-New York City"
"Jefferson","County Total","2024",,"1,857","238","0","85","11","142","1,619","225","1,335","59","Non-New York City"
"Jefferson","Dexter Vg PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Jefferson","Glen Park Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Jefferson","Jefferson County Park PD","2024","12","5","0","0","0","0","0","5","0","5","0","Non-New York City"
"Jefferson","Jefferson County Sheriff","2024","12","168","21","0","7","0","14","147","23","120","4","Non-New York City"
"Jefferson","Jefferson County State Police","2024","11","505","50","0","28","1","21","455","88","346","21","Non-New York City"
"Jefferson","Sackets Harbor Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Jefferson","Theresa Vg PD","2024","12","1","0","0","0","0","0","1","0","0","1","Non-New York City"
"Jefferson","Watertown City PD","2024","12","1,133","162","0","48","10","104","971","103","836","32","Non-New York City"
"Jefferson","West Carthage Vg PD","2024","12","3","0","0","0","0","0","3","1","2","0","Non-New York City"
"Kings","County Total","2024","12","62,086","15,415","118","671","4,055","10,571","46,671","3,450","38,695","4,526","New York City"
"Lewis","County Total","2024",,"176","34","1","13","2","18","142","40","93","9","Non-New York City"
"Lewis","Lewis County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Lewis","Lewis County Sheriff","2024","12","83","19","1","8","2","8","64","18","42","4","Non-New York City"
"Lewis","Lewis County State Police","2024","11","85","14","0","5","0","9","71","22","44","5","Non-New York City"
"Lewis","Lowville Vg PD","2024","12","8","1","0","0","0","1","7","0","7","0","Non-New York City"
"Livingston","Avon Vg PD","2024","12","8","2","0","0","0","2","6","0","6","0","Non-New York City"
"Livingston","Caledonia Vg PD","2024","12","2","0","0","0","0","0","2","0","1","1","Non-New York City"
"Livingston","County Total","2024",,"541","48","1","12","6","29","493","52","422","19","Non-New York City"
"Livingston","Dansville Vg PD","2024","12","87","3","0","0","0","3","84","7","75","2","Non-New York City"
"Livingston","Geneseo Vg PD","2024","12","118","5","0","0","0","5","113","10","102","1","Non-New York City"
"Livingston","Livingston County Park PD","2024","12","3","0","0","0","0","0","3","0","3","0","Non-New York City"
"Livingston","Livingston County Sheriff","2024","12","239","21","1","7","2","11","218","28","178","12","Non-New York City"
"Livingston","Livingston County State Police","2024","11","30","11","0","5","2","4","19","3","14","2","Non-New York City"
"Livingston","Mount Morris Vg PD","2024","12","39","6","0","0","2","4","33","4","28","1","Non-New York City"
"Livingston","SUNY Police - Geneseo","2024","12","15","0","0","0","0","0","15","0","15","0","Non-New York City"
"Madison","Canastota Vg PD","2024","12","31","9","0","1","1","7","22","3","17","2","Non-New York City"
"Madison","Cazenovia Vg PD","2024","12","26","0","0","0","0","0","26","2","24","0","Non-New York City"
"Madison","Chittenango Vg PD","2024","12","19","3","0","0","0","3","16","0","15","1","Non-New York City"
"Madison","County Total","2024",,"818","110","0","33","11","66","708","115","573","20","Non-New York City"
"Madison","Hamilton Vg PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Madison","Madison County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Madison","Madison County Sheriff","2024","12","112","25","0","6","1","18","87","17","67","3","Non-New York City"
"Madison","Madison County State Police","2024","11","181","29","0","15","1","13","152","30","115","7","Non-New York City"
"Madison","Oneida City PD","2024","12","403","40","0","10","7","23","363","58","299","6","Non-New York City"
"Madison","SUNY Police - Morrisville","2024","12","45","4","0","1","1","2","41","5","35","1","Non-New York City"
"Monroe","Brighton Town PD","2024","12","860","33","0","7","8","18","827","45","571","211","Non-New York City"
"Monroe","Brockport Vg PD","2024","12","32","7","0","3","0","4","25","3","21","1","Non-New York City"
"Monroe","County Total","2024",,"17,262","2,079","55","157","552","1,315","15,183","1,641","9,544","3,998","Non-New York City"
"Monroe","East Rochester Vg PD","2024","12","90","11","0","0","0","11","79","11","53","15","Non-New York City"
"Monroe","Fairport Vg PD","2024","12","32","6","0","0","2","4","26","1","23","2","Non-New York City"
"Monroe","Gates Town PD","2024","12","928","56","0","6","24","26","872","59","705","108","Non-New York City"
"Monroe","Greece Town PD","2024","12","2,031","144","0","7","36","101","1,887","185","1,261","441","Non-New York City"
"Monroe","Irondequoit Town PD","2024","12","980","75","5","12","14","44","905","113","537","255","Non-New York City"
"Monroe","Monroe County Park PD","2024","12","1","0","0","0","0","0","1","0","1","0","Non-New York City"
"Monroe","Monroe County Sheriff","2024","12","2,759","188","1","30","43","114","2,571","238","2,047","286","Non-New York City"
"Monroe","Monroe County State Police","2024","11","93","41","3","24","1","13","52","0","32","20","Non-New York City"
"Monroe","Ogden Town PD","2024","12","128","10","0","2","3","5","118","8","100","10","Non-New York City"
"Monroe","Rochester City PD","2024","12","8,852","1,477","46","62","416","953","7,375","948","3,834","2,593","Non-New York City"
"Monroe","SUNY Police - Brockport","2024","12","22","1","0","0","1","0","21","0","21","0","Non-New York City"
"Monroe","Webster Town and Vg PD","2024","12","454","30","0","4","4","22","424","30","338","56","Non-New York City"
"Montgomery","Amsterdam City PD","2024","12","260","21","1","1","3","16","239","28","202","9","Non-New York City"
"Montgomery","Canajoharie Vg PD","2024","12","17","3","0","0","1","2","14","3","11","0","Non-New York City"
"Montgomery","County Total","2024",,"628","48","1","10","6","31","580","62","497","21","Non-New York City"
"Montgomery","Fort Plain Vg PD","2024","12","14","1","0","0","0","1","13","0","12","1","Non-New York City"
"Montgomery","Montgomery County Park PD","2024","12","0","0","0","0","0","0","0","0","0","0","Non-New York City"
"Montgomery","Montgomery County Sheriff","2024","12","247","15","0","4","2","9","232","24","201","7","Non-New York City"
